Manager of the Esenler branch is Derem Acar.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Keles branch is Balin Durmaz.
Gizmen Durmaz is dismissed from branch: Karakocan.
Abdülalim Tekin is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Faruk Sahiner is dismissed from branch: Golbasi.
There is no such employee.
There is no such employee.
Ilkcan Yilmazer is dismissed from branch: Fatih.
Fena Aydemir is dismissed from branch: Kulp.
Eser Ozturk is promoted from Cashier to Cook.
There is no such employee.
Girin Ekinci is dismissed from branch: Bismil.
There is no such employee.
There is no such employee.
Abakay Avci is dismissed from branch: Bagcilar.
There is no such employee.
Halide Durmaz is dismissed from branch: Sincan.
Basim Buyuk is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Hafız Oz is dismissed from branch: Gungoren.
There is no such employee.
There is no such employee.
Manager of the Konak branch is Gizmen Aksu.
There is no such employee.
There is no such employee.
Kaniye Yildiran is promoted from Cashier to Cook.
There is no such employee.
Kamile Bayrak is dismissed from branch: Merkez.
There is no such employee.
Bahriye Ekinci is dismissed from branch: Yayladere.
Ildiz Mert is dismissed from branch: Evren.
There is no such employee.
There is no such employee.
Manager of the Karakocan branch is Canfeza Toprak.
Devrim Tuncer is promoted from Cashier to Cook.
Mahsure Korkmaz is promoted from Cashier to Cook.
Total bonuses for the Yenimahalle branch this month are: 2950
Ferruh Bayrak is promoted from Cashier to Cook.
There is no such employee.
Karya Erturk is promoted from Cashier to Cook.
There is no such employee.
Kayansel Ceylan is dismissed from branch: Elmadag.
There is no such employee.
There is no such employee.
There is no such employee.
Fakirullah Yucel is promoted from Cashier to Cook.
There is no such employee.
Manager of the Sincan branch is Karmen Kilic.
There is no such employee.
Canfeza Karahan is dismissed from branch: Lice.
There is no such employee.
Hilkat Yilmaz is dismissed from branch: Keban.
Ejder Celik is dismissed from branch: Arguvan.
There is no such employee.
Fuad Aygun is promoted from Cashier to Cook.
There is no such employee.
Leylüfer Kocaman is promoted from Cashier to Cook.
Deryanur Yilmazer is dismissed from branch: Eyup.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Aber Akbas is promoted from Cashier to Cook.
Fatih Erturk is promoted from Cashier to Cook.
Ediz Senol is promoted from Cashier to Cook.
There is no such employee.
Total bonuses for the Yayladere branch are: 45490
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Gazire Kilicaslan is promoted from Cashier to Cook.
Basri Yilmaz is promoted from Cashier to Cook.
There is no such employee.
Erhan Saglam is dismissed from branch: Buyukorhan.
There is no such employee.
There is no such employee.
There is no such employee.
Destan Ucar is dismissed from branch: Avcilar.
Lal Aydin is dismissed from branch: Kestel.
Filizer Gul is leaving from branch: Dicle.
Jengar Senol is promoted from Cashier to Cook.
Aydin Kucuk is promoted from Cashier to Cook.
Erendil Cicek is dismissed from branch: Sereflikochisar.
There is no such employee.
Deryanur Celik is promoted from Cashier to Cook.
Mahiye Erkan is dismissed from branch: Akyurt.
There is no such employee.
Iyiturk Aksoy is dismissed from branch: Battalgazi.
There is no such employee.
There is no such employee.
There is no such employee.
Kaila/Kayla Sahin is dismissed from branch: Beypazari.
Abduş Gul is promoted from Cashier to Cook.
Edaay Sarac is dismissed from branch: Gursu.
There is no such employee.
Gazele Sari is dismissed from branch: Karsel.
Ebed Kilicaslan is dismissed from branch: Osmangazi.
Ferahfeza Aygun is promoted from Cashier to Cook.
Ilgaz Korkmaz is promoted from Cashier to Cook.
Ledeyna Genc is dismissed from branch: Zeytinburnu.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Menemen branch is Ilaydin Erturk.
Total bonuses for the Dogansehir branch are: 37704
There is no such employee.
Faide Oz is promoted from Cashier to Cook.
Donat Uzun is promoted from Cashier to Cook.
Edebali Koc is dismissed from branch: Golbasi.
Dilbirin Demir is promoted from Cashier to Cook.
There is no such employee.
Bangu Balta is promoted from Cashier to Cook.
Hadis Yilmazer is promoted from Cashier to Cook.
Fikrettin Kilicaslan is promoted from Cashier to Cook.
There is no such employee.
Harika Aydogan is dismissed from branch: Battalgazi.
There is no such employee.
Bozkaya Ay is dismissed from branch: Bismil.
Manager of the Bismil branch is Inanna Yigit.
Ertan Balta is dismissed from branch: Konak.
There is no such employee.
Debernuş Yasar is promoted from Cashier to Cook.
Diclehatun Buyuk is dismissed from branch: Osmangazi.
There is no such employee.
Ildir Ipek is promoted from Cashier to Cook.
Cazibe Genc is promoted from Cashier to Cook.
There is no such employee.
Berke Akpinar is promoted from Cashier to Cook.
There is no such employee.
Dorukhan Toprak is promoted from Cashier to Cook.
There is no such employee.
Maya Tuncer is dismissed from branch: Sehitkamil.
Edhem Cicek is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
İkbal Dede is dismissed from branch: Cubuk.
Ihlamur Yasar is promoted from Cashier to Cook.
Hasibe Tuncer is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Hamis Arslan is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Iris Alkan is promoted from Cashier to Cook.
Asli Erdogan is dismissed from branch: Acigol.
Erim Duran is dismissed from branch: Elmadag.
Irsad Mengi is promoted from Cashier to Cook.
Kaniye Aygun is promoted from Cashier to Cook.
Havva Aslan is dismissed from branch: Solhan.
Total bonuses for the Karabaglar branch are: 42375
Gazel Demirci is promoted from Cashier to Cook.
There is no such employee.
Kalender Senol is dismissed from branch: Adakli.
Manager of the Arguvan branch is Burç Yildiran.
There is no such employee.
Abuşka Ozdemir is promoted from Cashier to Cook.
There is no such employee.
Ecrin Ceylan is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Ekin Temel is dismissed from branch: Buyukorhan.
There is no such employee.
There is no such employee.
Total bonuses for the Karkamis branch are: 42525
Total bonuses for the Araban branch are: 42895
There is no such employee.
There is no such employee.
Ekmeleddin Sari is promoted from Cashier to Cook.
Ekber Acar is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Barbaros Yavuz is promoted from Cashier to Cook.
Evin Aslan is promoted from Cashier to Cook.
Evgin Bayrak is dismissed from branch: Eyup.
Cenah Yavuz is promoted from Cashier to Cook.
Ferruh Mert is dismissed from branch: Bagcilar.
Lara Aktas is promoted from Cashier to Cook.
Halas Aytac is promoted from Cashier to Cook.
Haluk Ari is promoted from Cashier to Cook.
There is no such employee.
Manager of the Sehitkamil branch is Farika Oz.
There is no such employee.
Lamia Cengiz is promoted from Cashier to Cook.
Balkin Dag is dismissed from branch: Menemen.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Cigli branch are: 45435
Total bonuses for the Tuzla branch this month are: 2379
There is no such employee.
Izzettin Gul is promoted from Cashier to Cook.
There is no such employee.
Dalsar Kaya is dismissed from branch: Eyup.
Bahamra Yasar is dismissed from branch: Cermik.
Abat Ipek is promoted from Cashier to Cook.
Manager of the Sivrice branch is Mahzure Kilicaslan.
Daltekin Senol is promoted from Cashier to Cook.
Manager of the Pursaklar branch is Gani Durmaz.
Jeyan Ceylan is dismissed from branch: Acigol.
There is no such employee.
There is no such employee.
Felat Gurbuz is dismissed from branch: Baskil.
Demirezen Sahin is dismissed from branch: Cinar.
Total bonuses for the Esenler branch this month are: 4075
Hacil Demir is dismissed from branch: Orhangazi.
Acunalp Aksoy is promoted from Cashier to Cook.
There is no such employee.
Ecmel Korkmaz is promoted from Cashier to Cook.
Delfin Yucel is dismissed from branch: Uskudar.
There is no such employee.
There is no such employee.
Manager of the Umraniye branch is Cannur Ozdemir.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Dilferah Cebeci is dismissed from branch: Cubuk.
Total bonuses for the Tuzla branch are: 39533
Ebrar Alkan is promoted from Cashier to Cook.
Erdoğan Dag is dismissed from branch: Evren.
Manager of the Haymana branch is Fırat Demirci.
Havin Seker is dismissed from branch: Cubuk.
There is no such employee.
Medar Kocaman is promoted from Cashier to Cook.
There is no such employee.
Hilal Yilmaz is dismissed from branch: Acigol.
Elvan Yilmazer is promoted from Cashier to Cook.
There is no such employee.
Ceren Ay is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
Burç Kose is promoted from Cashier to Cook.
Farika Ay is dismissed from branch: Buyukorhan.
Lİna Celik is dismissed from branch: Esenler.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Fakirullah Mert is dismissed from branch: Karkamis.
Habibullah Kocaman is dismissed from branch: Osmangazi.
There is no such employee.
Lavanta Korkmaz is dismissed from branch: Evren.
Kadime Karahan is promoted from Cashier to Cook.
Total bonuses for the Uskudar branch are: 44474
Berat Sarac is dismissed from branch: Bagcilar.
Farika Toprak is promoted from Cashier to Cook.
There is no such employee.
Azad Ucar is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
Faris Taskin is dismissed from branch: Sereflikochisar.
There is no such employee.
There is no such employee.
There is no such employee.
Bahariye Sari is promoted from Cashier to Cook.
Manager of the Gursu branch is Felek Erkan.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Makber Ay is promoted from Cashier to Cook.
There is no such employee.
Ferhunde Yuksel is dismissed from branch: Dogansehir.
Total bonuses for the Bahcelievler branch are: 44104
There is no such employee.
There is no such employee.
Abakan/Abakay Mengi is promoted from Cashier to Cook.
Erdenay Bayrak is dismissed from branch: Avcilar.
Jeyan Kaya is dismissed from branch: Sereflikochisar.
There is no such employee.
Giram Karakas is dismissed from branch: Cinar.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Abad Kuru is dismissed from branch: Sile.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Fenniye Uzun is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
Cazibe Akbas is dismissed from branch: Golbasi.
There is no such employee.
Lal Tuncer is promoted from Cashier to Cook.
There is no such employee.
Total bonuses for the Sivrice branch are: 42262
Birmen Kara is promoted from Cashier to Cook.
Girin Seker is dismissed from branch: Konak.
Hacer Bayrak is dismissed from branch: Odemis.
Manager of the Beyoglu branch is Leyla Gunes.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Esenler branch are: 44892
There is no such employee.
Afitap Arslan is promoted from Cashier to Cook.
There is no such employee.
Kalender Koc is dismissed from branch: Baglar.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Ceydasu Kose is promoted from Cashier to Cook.
Iyiturk Akpinar is dismissed from branch: Cermik.
Total bonuses for the Karabaglar branch this month are: 3415
Farik Yilmaz is dismissed from branch: Avcilar.
Gazel Guler is promoted from Cashier to Cook.
Maide Aksu is dismissed from branch: Esenler.
Gani Avci is dismissed from branch: Arapgir.
Ecegül Kara is dismissed from branch: Elmadag.
Lebibe Kocaman is promoted from Cashier to Cook.
Balca Cetin is promoted from Cashier to Cook.
There is no such employee.
Belde Kilicarslan is promoted from Cashier to Cook.
Haveri Yilmazer is promoted from Cashier to Cook.
There is no such employee.
Manager of the Kagithane branch is Erkinay Cetin.
There is no such employee.
Firdevsi Cengiz is dismissed from branch: Tuzla.
Total bonuses for the Bagcilar branch this month are: 2951
Abdi Ay is promoted from Cashier to Cook.
Ecevit Alkan is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
Berk Yasar is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Feray Kuru is promoted from Cashier to Cook.
There is no such employee.
Aygül Ari is dismissed from branch: Karakocan.
Haktan Kuru is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Manager of the Baskil branch is Ezgi Yilmazer.
Bengi Polat is dismissed from branch: Yedisu.
Hizir Erkan is promoted from Cashier to Cook.
There is no such employee.
Leylan Temel is promoted from Cashier to Cook.
Davud Sari is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Jergar Aslan is promoted from Cashier to Cook.
There is no such employee.
Faruk Sahiner is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Ecmel Senol is promoted from Cashier to Cook.
Manager of the Buyukorhan branch is Benan Toprak.
There is no such employee.
There is no such employee.
Duman Aydogan is dismissed from branch: Derinkuyu.
Baharnaz Yilmazer is promoted from Cashier to Cook.
Total bonuses for the Odemis branch are: 46057
Eğmen Ari is promoted from Cashier to Cook.
Ecebay Yilmazer is dismissed from branch: Torbali.
Filinta Nas is promoted from Cashier to Cook.
Haluk Akpinar is dismissed from branch: Yedisu.
Dilay Erkan is dismissed from branch: Bismil.
Katun Demirci is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Celvetiye Yasar is dismissed from branch: Yedisu.
Lİna Aygun is promoted from Cashier to Cook.
Fecir Yilmazer is dismissed from branch: Acigol.
Layike Akbas is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
Igdemir Duran is dismissed from branch: Karkamis.
There is no such employee.
Gogen Kilicarslan is promoted from Cashier to Cook.
Lİna Demirci is dismissed from branch: Keles.
Canel Kose is promoted from Cashier to Cook.
There is no such employee.
Bera Toprak is dismissed from branch: Hazro.
Jaledar Alp is leaving from branch: Fatih.
Canan Yilmaz is promoted from Cashier to Cook.
Hatunana Acar is promoted from Cashier to Cook.
Total bonuses for the Haymana branch are: 43756
There is no such employee.
Duran Polat is dismissed from branch: Osmangazi.
There is no such employee.
There is no such employee.
There is no such employee.
Gilyas Seker is dismissed from branch: Kuluncak.
There is no such employee.
Huseyin Yasar is dismissed from branch: Haymana.
Isinkan Korkmaz is dismissed from branch: Esenler.
There is no such employee.
There is no such employee.
Kısmet Cicek is dismissed from branch: Beyoglu.
Ebrar Senol is dismissed from branch: Beypazari.
There is no such employee.
There is no such employee.
Canel Guler is dismissed from branch: Sereflikochisar.
Dalsar Kilicaslan is promoted from Cashier to Cook.
There is no such employee.
Fatma Elmas is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Hurel Kara is dismissed from branch: Arguvan.
Bera Kocaman is promoted from Cashier to Cook.
Kadriye Kilicaslan is promoted from Cashier to Cook.
Ferdi Yilmazer is promoted from Cashier to Cook.
Fahir Mert is dismissed from branch: Uskudar.
Total bonuses for the Zeytinburnu branch this month are: 1877
There is no such employee.
There is no such employee.
Total bonuses for the Arapgir branch this month are: 4304
Abgun Cebeci is promoted from Cashier to Cook.
Alara Duran is dismissed from branch: Kestel.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Hediye Cetin is promoted from Cashier to Cook.
There is no such employee.
Demir Kilicarslan is promoted from Cashier to Cook.
There is no such employee.
Manager of the Nilufer branch is Bahamra Nas.
Ferzin Yilmazer is dismissed from branch: Derinkuyu.
Ilgaz Korkmaz is promoted from Cashier to Cook.
Manager of the Gaziemir branch is Ecevit Ozturk.
Manager of the Odemis branch is Cenah Kucuk.
There is no such employee.
There is no such employee.
Ferhunde Cicek is dismissed from branch: Pursaklar.
Ceydasu Yucel is promoted from Cashier to Cook.
Manager of the Sancaktepe branch is Aba Karahan.
There is no such employee.
Manager of the Yesilyurt branch is Loya Cebeci.
There is no such employee.
Manager of the Dicle branch is Demirbilek Yuksel.
Cezlan Yavuz is promoted from Cashier to Cook.
İkbal Kocak is dismissed from branch: Bahcelievler.
Davud Mengi is promoted from Cashier to Cook.
Lema Yigit is promoted from Cashier to Cook.
There is no such employee.
Ceydasu Kara is dismissed from branch: Karakocan.
Aleyna Saglam is promoted from Cashier to Cook.
There is no such employee.
Aykut Avci is promoted from Cashier to Cook.
Gokay Yilmaz is dismissed from branch: Karkamis.
Alev Bayrak is dismissed from branch: Osmangazi.
Aylin Kucuk is dismissed from branch: Kagithane.
Manager of the Menemen branch is Ilaydin Erturk.
Edahses Cebeci is promoted from Cashier to Cook.
There is no such employee.
Esennur Cetin is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
Furkan Kose is promoted from Cashier to Cook.
There is no such employee.
Duman Gunay is promoted from Cashier to Cook.
There is no such employee.
Jasmin Sahin is dismissed from branch: Cubuk.
Total bonuses for the Yenimahalle branch are: 44164
Manager of the Cesme branch is Dehan Acar.
There is no such employee.
Manager of the Beydag branch is Erendiz Kose.
Enhar Er is promoted from Cashier to Cook.
Manager of the Sile branch is Aykut Ozen.
Fatma Yigit is dismissed from branch: Nilufer.
There is no such employee.
There is no such employee.
Dilay Dagdelen is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Abduş Erdogan is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Zeytinburnu branch are: 45596
There is no such employee.
There is no such employee.
Mahrume Yildiran is dismissed from branch: Dogansehir.
Manager of the Sivrice branch is Mahzure Kilicaslan.
Feray Durmaz is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Edgü Erdogan is promoted from Cashier to Cook.
There is no such employee.
Total bonuses for the Darende branch are: 43089
There is no such employee.
There is no such employee.
Alev Uzun is dismissed from branch: Hacibektas.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Leyla Gunay is dismissed from branch: Merkez.
There is no such employee.
There is no such employee.
Total bonuses for the Keban branch this month are: 5350
Hasret Sahiner is dismissed from branch: Dicle.
There is no such employee.
Bahtiyar Kilic is dismissed from branch: Sile.
There is no such employee.
Mesudane Ozturk is promoted from Cashier to Cook.
Hades Yildiz is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
Faruk Gul is dismissed from branch: Lice.
Manager of the Torbali branch is Delistan Ozdemir.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Janseli Erturk is dismissed from branch: Cesme.
Iknat Gunay is dismissed from branch: Orhangazi.
Bahamra Mert is dismissed from branch: Merkez.
There is no such employee.
There is no such employee.
There is no such employee.
Hilkat Avci is dismissed from branch: Cinar.
There is no such employee.
There is no such employee.
Cilvekar Ozen is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Arguvan branch is Burç Yildiran.
Hamiyet Kilic is dismissed from branch: Nilufer.
Manager of the Yedisu branch is Davud Ay.
Ayaz Toprak is dismissed from branch: Evren.
Dijdar Akbas is dismissed from branch: Cermik.
There is no such employee.
Jergar Saglam is dismissed from branch: Kuluncak.
Total bonuses for the Haymana branch this month are: 2752
There is no such employee.
Hamaset Er is dismissed from branch: Sivrice.
Efehan Durmaz is dismissed from branch: Dogansehir.
Manager of the Adakli branch is Cankut Erkan.
Baharcan Erdogan is dismissed from branch: Kuluncak.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Cigli branch this month are: 4274
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Odemis branch is Cenah Kucuk.
There is no such employee.
There is no such employee.
There is no such employee.
Emel Taskin is dismissed from branch: Oguzeli.
There is no such employee.
There is no such employee.
Erinç Yavuz is promoted from Cashier to Cook.
There is no such employee.
Dalım Erturk is dismissed from branch: Lice.
Dilfigar Temel is dismissed from branch: Yazihan.
Lamiye Kucuk is dismissed from branch: Menemen.
There is no such employee.
There is no such employee.
Ilgaz Yuksel is dismissed from branch: Yenimahalle.
Ebecen Cebeci is promoted from Cashier to Cook.
Halilullah Temel is dismissed from branch: Buyukcekmece.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Maide Erdogan is promoted from Cashier to Cook.
Egealp Ucar is dismissed from branch: Karsel.
There is no such employee.
Manager of the Odemis branch is Cenah Kucuk.
Banu Dag is dismissed from branch: Beypazari.
Jinmir Dagdelen is dismissed from branch: Sancaktepe.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Husamettin Korkmaz is promoted from Cashier to Cook.
There is no such employee.
Ekenel Gunes is dismissed from branch: Dogansehir.
Mahire Guler is dismissed from branch: Gaziemir.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Lİna Nas is promoted from Cashier to Cook.
Total bonuses for the Zeytinburnu branch this month are: 2857
There is no such employee.
There is no such employee.
Hursit Duran is dismissed from branch: Cinar.
Galibe Polat is dismissed from branch: Yesilyurt.
Edebali Elmas is dismissed from branch: Yayladere.
There is no such employee.
Total bonuses for the Bismil branch are: 47579
There is no such employee.
Hakan Aydogan is dismissed from branch: Nilufer.
Hacer Karahan is dismissed from branch: Oguzeli.
Manager of the Yayladere branch is Dilkeste Duran.
There is no such employee.
Izzettin Kilic is dismissed from branch: Karakocan.
Canfeza Kilicaslan is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
Gale Aygun is dismissed from branch: Sehitkamil.
Abdulrezzak Karakas is dismissed from branch: Konak.
Mesudane Karakas is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Hamra Kilicarslan is dismissed from branch: Eyup.
Ekenel Aksu is promoted from Cashier to Cook.
Feyzullah Avci is dismissed from branch: Fatih.
There is no such employee.
Jiyan Kucuk is promoted from Cashier to Cook.
Behçet Sarac is promoted from Cashier to Cook.
Mediha Karahan is dismissed from branch: Sile.
There is no such employee.
There is no such employee.
Ilbey Korkmaz is promoted from Cashier to Cook.
Ilbilge Kilic is promoted from Cashier to Cook.
Girgin Aksu is leaving from branch: Sancaktepe.
Gaye Aksoy is dismissed from branch: Hazro.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Golbasi branch is Gokberk Karahan.
Ilgun Yilmaz is promoted from Cashier to Cook.
Gazi Yilmazer is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Tuzla branch is Kafiye Mengi.
There is no such employee.
There is no such employee.
Atilla Elmas is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Fakri Aydemir is dismissed from branch: Osmangazi.
There is no such employee.
There is no such employee.
Katun Er is promoted from Cashier to Cook.
Ekenel Senol is dismissed from branch: Tuzla.
Erk Mengi is promoted from Cashier to Cook.
Ihvan Erkan is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Battalgazi branch is Halim Yilmaz.
There is no such employee.
There is no such employee.
Lerzan Ay is promoted from Cashier to Cook.
Esmeray Yilmazer is dismissed from branch: Elmadag.
Dilfeza Seker is dismissed from branch: Derinkuyu.
Kainat Sari is promoted from Cashier to Cook.
Fermande Yildiz is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Fahir Senol is promoted from Cashier to Cook.
Balkoç Kaya is dismissed from branch: Bahcelievler.
There is no such employee.
Itri Erdogan is dismissed from branch: Sahinbey.
There is no such employee.
There is no such employee.
Katun Kilic is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
Gorani Gunay is promoted from Cashier to Cook.
Bahamra Dag is dismissed from branch: Kestel.
There is no such employee.
There is no such employee.
Ilgi Akbas is promoted from Cashier to Cook.
Macide Erdogan is dismissed from branch: Evren.
There is no such employee.
Hafsa Yilmaz is dismissed from branch: Kestel.
Fazilet Cicek is dismissed from branch: Hazro.
There is no such employee.
There is no such employee.
Kevser Koc is promoted from Cashier to Cook.
Manager of the Nilufer branch is Bahamra Nas.
There is no such employee.
Total bonuses for the Cigli branch this month are: 198
Haki Toprak is dismissed from branch: Keban.
Delfin Yavuz is promoted from Cashier to Cook.
Total bonuses for the Elmadag branch are: 47405
There is no such employee.
There is no such employee.
There is no such employee.
Firdevsi Kocak is promoted from Cashier to Cook.
Gazire Ucar is dismissed from branch: Battalgazi.
There is no such employee.
There is no such employee.
Ecir Kucuk is promoted from Cashier to Cook.
Ilgat Yuksel is dismissed from branch: Dogansehir.
Gazal Aygun is dismissed from branch: Umraniye.
There is no such employee.
There is no such employee.
There is no such employee.
Ayberk Seker is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Burç Yilmazer is dismissed from branch: Yesilyurt.
Dalince Ceylan is promoted from Cashier to Cook.
There is no such employee.
Fenniye Ipek is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Kısmet Karahan is promoted from Cashier to Cook.
Jergar Demir is dismissed from branch: Sahinbey.
There is no such employee.
Total bonuses for the Elmadag branch are: 47516
There is no such employee.
There is no such employee.
Manager of the Gungoren branch is Mahru Kilicarslan.
There is no such employee.
There is no such employee.
Kamuran Demirci is dismissed from branch: Akyurt.
There is no such employee.
Leyla Celik is dismissed from branch: Adakli.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Kader Yilmazer is promoted from Cashier to Cook.
Fikri Er is promoted from Cashier to Cook.
There is no such employee.
Efdal Aksu is dismissed from branch: Orhangazi.
There is no such employee.
Fazil Yigit is dismissed from branch: Odemis.
There is no such employee.
Gıyas Yilmaz is dismissed from branch: Cesme.
There is no such employee.
Manager of the Buyukorhan branch is Benan Toprak.
Gerçek Yildirim is dismissed from branch: Cermik.
There is no such employee.
There is no such employee.
There is no such employee.
Dafne Ozturk is promoted from Cashier to Cook.
Ecesoy Mert is dismissed from branch: Eyup.
There is no such employee.
Canaş Cengiz is dismissed from branch: Kulp.
There is no such employee.
Total bonuses for the Eyup branch are: 43146
There is no such employee.
There is no such employee.
Kaymak Balta is dismissed from branch: Kestel.
Manager of the Osmangazi branch is Kader Sari.
Kardelen Yilmazer is dismissed from branch: Derinkuyu.
There is no such employee.
Fermani Kilicarslan is promoted from Cashier to Cook.
Hayriye Oz is promoted from Cashier to Cook.
Total bonuses for the Cermik branch are: 46456
There is no such employee.
There is no such employee.
There is no such employee.
Dijdar Karahan is promoted from Cashier to Cook.
Hadice Sarac is dismissed from branch: Gaziemir.
There is no such employee.
Delal Polat is promoted from Cashier to Cook.
There is no such employee.
Durul Aytac is dismissed from branch: Bismil.
Galip Elmas is dismissed from branch: Gaziemir.
There is no such employee.
There is no such employee.
Evin Kocaman is dismissed from branch: Darende.
Gencay Yildiran is dismissed from branch: Oguzeli.
There is no such employee.
There is no such employee.
There is no such employee.
Gale Aktas is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Ecir Acar is dismissed from branch: Yazihan.
There is no such employee.
There is no such employee.
Hincal Erturk is dismissed from branch: Acigol.
There is no such employee.
Delice Er is promoted from Cashier to Cook.
Husamettin Aydogan is dismissed from branch: Cigli.
Total bonuses for the Merkez branch are: 44003
Total bonuses for the Mamak branch this month are: 485
Laylank Kucuk is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Sehitkamil branch are: 42982
There is no such employee.
There is no such employee.
Doruk Ucar is dismissed from branch: Sivrice.
Fulya Yildiran is dismissed from branch: Menemen.
There is no such employee.
There is no such employee.
There is no such employee.
Diba Ari is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Karanfil Yigit is dismissed from branch: Avcilar.
There is no such employee.
There is no such employee.
There is no such employee.
Germa Oz is promoted from Cashier to Cook.
There is no such employee.
Fahir Yavuz is dismissed from branch: Arapgir.
There is no such employee.
Jinmir Gunes is promoted from Cashier to Cook.
There is no such employee.
Manager of the Esenler branch is Derem Acar.
There is no such employee.
Havva Aktas is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
Gezer Yuksel is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Farah Gurbuz is dismissed from branch: Cermik.
There is no such employee.
There is no such employee.
There is no such employee.
